FREQUENCY,DATE,LOCATION_NAME,LOCATION_F5,LOCATION_ID,LOCATION_REGIONID,VARIABLE_NAME,VALUE,VARIABLE_ID
Annual,2001,Assam,FALSE,IN-AS,IN-AS,Population Density,340,KN.H13
Annual,2001,Haryana,FALSE,IN-HR,IN-HR,Population Density,478,KN.H13
Annual,2011,Rajasthan,FALSE,IN-RJ,IN-RJ,Population Density,201,KN.H13
Annual,2011,Arunachal Pradesh,FALSE,IN-AR,IN-AR,Population Density,17,KN.H13
Annual,2011,Meghalaya,FALSE,IN-ML,IN-ML,Population Density,132,KN.H13
Annual,2011,Mizoram,FALSE,IN-MZ,IN-MZ,Population Density,52,KN.H13
Annual,2001,Punjab,FALSE,IN-PB,IN-PB,Population Density,484,KN.H13
Annual,2011,Andaman & Nicobar Islands,FALSE,IN-AN,IN-AN,Population Density,46,KN.H13
Annual,2011,Bihar,FALSE,IN-BR,IN-BR,Population Density,1102,KN.H13
Annual,2001,Daman & Diu,FALSE,IN-DD,IN-DD,Population Density,1413,KN.H13
Annual,2011,Daman & Diu,FALSE,IN-DD,IN-DD,Population Density,2169,KN.H13
Annual,2001,Karnataka,FALSE,IN-KA,IN-KA,Population Density,276,KN.H13
Annual,2011,Karnataka,FALSE,IN-KA,IN-KA,Population Density,319,KN.H13
Annual,2001,Orissa,FALSE,IN-OR,IN-OR,Population Density,236,KN.H13
Annual,2011,Puducherry,FALSE,IN-PY,IN-PY,Population Density,2598,KN.H13
Annual,2011,Maharashtra,FALSE,IN-MH,IN-MH,Population Density,365,KN.H13
Annual,2001,Manipur,FALSE,IN-MN,IN-MN,Population Density,103,KN.H13
Annual,2001,Dadra & Nagar Haveli,FALSE,IN-DN,IN-DN,Population Density,449,KN.H13
Annual,2011,Dadra & Nagar Haveli,FALSE,IN-DN,IN-DN,Population Density,698,KN.H13
Annual,2001,Goa,FALSE,IN-GA,IN-GA,Population Density,364,KN.H13
Annual,2011,Gujarat,FALSE,IN-GJ,IN-GJ,Population Density,308,KN.H13
Annual,2011,Kerala,FALSE,IN-KL,IN-KL,Population Density,859,KN.H13
Annual,2001,Lakshadweep,FALSE,IN-LD-LK,IN-LD-LK,Population Density,1895,KN.H13
Annual,2011,Lakshadweep,FALSE,IN-LD-LK,IN-LD-LK,Population Density,2013,KN.H13
Annual,2001,Madhya Pradesh,FALSE,IN-MP,IN-MP,Population Density,196,KN.H13
Annual,2001,Nagaland,FALSE,IN-NL,IN-NL,Population Density,120,KN.H13
Annual,2011,Nagaland,FALSE,IN-NL,IN-NL,Population Density,119,KN.H13
Annual,2011,Tamil Nadu,FALSE,IN-TN,IN-TN,Population Density,555,KN.H13
Annual,2001,Tripura,FALSE,IN-TR,IN-TR,Population Density,305,KN.H13
Annual,2011,Tripura,FALSE,IN-TR,IN-TR,Population Density,350,KN.H13
Annual,2001,Uttar Pradesh,FALSE,IN-UP,IN-UP,Population Density,690,KN.H13
Annual,2011,Uttar Pradesh,FALSE,IN-UP,IN-UP,Population Density,828,KN.H13
Annual,2001,Uttarakhand,FALSE,IN-UT,IN-UT,Population Density,159,KN.H13
Annual,2001,Andaman & Nicobar Islands,FALSE,IN-AN,IN-AN,Population Density,43,KN.H13
Annual,2001,Andhra Pradesh,FALSE,IN-AP,IN-AP,Population Density,277,KN.H13
Annual,2011,Andhra Pradesh,FALSE,IN-AP,IN-AP,Population Density,308,KN.H13
Annual,2011,Assam,FALSE,IN-AS,IN-AS,Population Density,397,KN.H13
Annual,2001,Bihar,FALSE,IN-BR,IN-BR,Population Density,881,KN.H13
Annual,2001,Chandigarh,FALSE,IN-CH,IN-CH,Population Density,7900,KN.H13
Annual,2001,Delhi,FALSE,IN-DL,IN-DL,Population Density,9340,KN.H13
Annual,2011,Delhi,FALSE,IN-DL,IN-DL,Population Density,11297,KN.H13
Annual,2001,Jammu & Kashmir,FALSE,IN-JK,IN-JK,Population Density,100,KN.H13
Annual,2001,Kerala,FALSE,IN-KL,IN-KL,Population Density,819,KN.H13
Annual,2011,Manipur,FALSE,IN-MN,IN-MN,Population Density,122,KN.H13
Annual,2001,Chhattisgarh,FALSE,IN-CG,IN-CG,Population Density,154,KN.H13
Annual,2011,Chhattisgarh,FALSE,IN-CG,IN-CG,Population Density,189,KN.H13
Annual,2011,Chandigarh,FALSE,IN-CH,IN-CH,Population Density,9252,KN.H13
Annual,2011,India,FALSE,IN,IN,Population Density,382,KN.H13
Annual,2001,Arunachal Pradesh,FALSE,IN-AR,IN-AR,Population Density,13,KN.H13
Annual,2011,Sikkim,FALSE,IN-SK,IN-SK,Population Density,86,KN.H13
Annual,2001,Tamil Nadu,FALSE,IN-TN,IN-TN,Population Density,480,KN.H13
Annual,2011,Goa,FALSE,IN-GA,IN-GA,Population Density,394,KN.H13
Annual,2001,Gujarat,FALSE,IN-GJ,IN-GJ,Population Density,258,KN.H13
Annual,2011,Himachal Pradesh,FALSE,IN-HP,IN-HP,Population Density,123,KN.H13
Annual,2001,Jharkhand,FALSE,IN-JH,IN-JH,Population Density,338,KN.H13
Annual,2011,Orissa,FALSE,IN-OR,IN-OR,Population Density,269,KN.H13
Annual,2001,West Bengal,FALSE,IN-WB,IN-WB,Population Density,903,KN.H13
Annual,2011,West Bengal,FALSE,IN-WB,IN-WB,Population Density,1029,KN.H13
Annual,2001,Maharashtra,FALSE,IN-MH,IN-MH,Population Density,315,KN.H13
Annual,2001,Meghalaya,FALSE,IN-ML,IN-ML,Population Density,103,KN.H13
Annual,2011,Uttarakhand,FALSE,IN-UT,IN-UT,Population Density,189,KN.H13
Annual,2001,India,FALSE,IN,IN,Population Density,325,KN.H13
Annual,2011,Haryana,FALSE,IN-HR,IN-HR,Population Density,573,KN.H13
Annual,2011,Jharkhand,FALSE,IN-JH,IN-JH,Population Density,414,KN.H13
Annual,2011,Jammu & Kashmir,FALSE,IN-JK,IN-JK,Population Density,124,KN.H13
Annual,2001,Mizoram,FALSE,IN-MZ,IN-MZ,Population Density,42,KN.H13
Annual,2001,Puducherry,FALSE,IN-PY,IN-PY,Population Density,2030,KN.H13
Annual,2001,Rajasthan,FALSE,IN-RJ,IN-RJ,Population Density,165,KN.H13
Annual,2001,Sikkim,FALSE,IN-SK,IN-SK,Population Density,76,KN.H13
Annual,2001,Himachal Pradesh,FALSE,IN-HP,IN-HP,Population Density,109,KN.H13
Annual,2011,Madhya Pradesh,FALSE,IN-MP,IN-MP,Population Density,236,KN.H13
Annual,2011,Punjab,FALSE,IN-PB,IN-PB,Population Density,550,KN.H13
